degree,k_ij
4,97.0
3,5.0
2,389.0
5,1156.6
23,147.91304347826087
16,260.5
9,15.777777777777779
32,45.53125
52,8.673076923076923
10,5.0
6,8.333333333333334
96,8.6875
1,167.0
1,63.0
63,23.761904761904763
1,69.0
3,1278.6666666666667
1,62.0
62,8.161290322580646
1,433.0
12,164.08333333333334
22,10.227272727272727
26,67.07692307692308
21,193.76190476190476
6,9.5
32,18.4375
6,5.333333333333333
61,16.901639344262296
6,258.6666666666667
8,10.375
104,10.057692307692308
56,21.464285714285715
1,3024.0
1,3103.0
3,521.6666666666666
63,7.301587301587301
22,73.5
3,731.3333333333334
1,22.0
2,539.0
1,22.0
5,109.0
10,383.6
8,17.75
2,230.5
1,1056.0
1,22.0
1,699.0
1,22.0
6,1040.3333333333333
5,295.6
